pH,turbidity,TDS,temperature,conductivity,label
8.06,0.2,292.5,19.5,715.5,1
8.21,7.14,160.9,23.4,220.9,0
6.37,4.04,118.6,19.0,654.9,0
7.68,1.76,512.5,31.2,204.5,0
8.72,5.59,338.2,18.1,870.0,0
6.85,0.74,167.7,31.9,622.6,1
8.73,5.84,475.4,34.5,465.0,0
7.71,6.64,533.0,32.2,604.1,0
8.32,0.37,259.5,20.8,255.9,1
6.43,0.81,294.6,27.7,455.4,0
6.98,1.68,286.9,33.7,653.6,1
7.94,1.37,610.4,18.3,465.6,0
9.46,5.12,489.9,28.7,790.0,0
8.6,1.83,122.5,21.3,387.4,0
6.34,7.54,713.5,21.3,658.8,0
7.08,7.32,421.2,20.3,372.6,0
7.75,2.1,509.2,33.0,479.6,0
6.38,7.98,456.7,16.8,233.0,0
5.94,5.02,654.5,23.4,244.5,0
7.03,7.97,470.4,34.4,802.5,0
5.55,5.77,577.2,25.7,386.8,0
8.06,0.89,404.3,24.1,867.7,1
9.0,2.11,450.4,18.6,838.8,0
8.98,2.39,547.3,27.2,307.0,0
8.55,4.32,645.0,25.6,200.4,0
6.8,0.16,750.4,32.6,782.2,0
6.73,0.46,714.6,33.9,260.0,0
7.44,0.55,632.4,30.3,289.9,0
7.4,4.4,285.5,32.4,496.2,0
6.35,4.31,611.0,19.0,418.2,0
9.48,5.2,406.7,25.4,284.7,0
6.4,2.7,511.8,19.6,354.2,0
5.78,5.05,260.3,33.1,801.7,0
5.78,1.9,568.3,19.3,292.6,0
9.24,4.57,430.9,30.7,765.2,0
6.26,0.78,401.7,23.5,526.9,0
8.42,5.39,788.9,17.0,481.8,0
6.86,6.89,274.1,18.8,514.0,0
7.19,2.23,274.9,33.5,510.2,1
8.95,4.4,135.4,35.0,785.2,0
9.38,7.41,694.1,18.3,539.9,0
6.35,3.21,141.0,22.6,889.7,0
6.56,6.27,418.5,23.5,870.1,0
9.48,4.45,602.9,18.1,407.7,0
9.37,4.63,479.5,30.0,240.0,0
7.84,4.02,696.9,18.1,872.5,0
5.82,1.49,516.5,28.5,364.6,0
5.98,7.12,272.4,26.9,633.6,0
7.18,4.67,465.9,33.7,343.0,0
8.36,1.91,377.1,28.4,410.0,1
6.76,6.01,150.8,24.2,898.9,0
9.48,0.59,249.2,20.3,853.3,0
9.02,7.03,358.7,18.2,783.6,0
8.31,4.89,791.1,28.1,205.5,0
8.77,2.4,564.4,33.8,294.0,0
5.96,0.86,487.3,20.4,623.4,0
8.37,1.63,544.0,20.3,542.0,0
9.12,6.77,164.6,23.5,393.7,0
5.51,6.17,546.0,20.2,718.9,0
7.71,3.42,106.8,16.5,818.2,1
9.12,4.36,684.2,26.7,303.7,0
6.01,2.47,729.3,30.9,802.5,0
9.1,1.68,274.7,17.1,746.1,0
