timestamp,pH,turbidity,TDS,temperature,conductivity
2024-01-15T08:00:00Z,7.12,1.23,310.0,24.5,420.0
2024-01-15T08:10:00Z,7.08,1.45,325.0,24.3,435.0
2024-01-15T08:20:00Z,7.21,1.10,298.0,24.7,410.0
2024-01-15T08:30:00Z,7.35,1.67,340.0,25.1,450.0
2024-01-15T08:40:00Z,7.18,1.32,315.0,24.9,425.0
2024-01-15T08:50:00Z,7.05,1.55,330.0,24.6,440.0
2024-01-15T09:00:00Z,7.29,1.20,305.0,24.8,415.0
2024-01-15T09:10:00Z,7.42,1.78,355.0,25.3,460.0
2024-01-15T09:20:00Z,7.15,1.40,320.0,24.4,430.0
2024-01-15T09:30:00Z,7.33,1.25,308.0,24.6,418.0
2024-01-15T09:40:00Z,9.40,6.20,540.0,25.0,620.0
2024-01-15T09:50:00Z,7.22,1.35,318.0,24.7,428.0
2024-01-15T10:00:00Z,7.10,1.50,328.0,24.5,438.0
2024-01-15T10:10:00Z,7.38,1.15,302.0,24.9,412.0
2024-01-15T10:20:00Z,7.25,1.60,342.0,25.2,452.0
2024-01-15T10:30:00Z,7.14,1.28,312.0,24.6,422.0
2024-01-15T10:40:00Z,7.31,1.42,322.0,24.8,432.0
2024-01-15T10:50:00Z,7.19,1.18,306.0,24.5,416.0
2024-01-15T11:00:00Z,7.44,1.72,348.0,25.4,458.0
2024-01-15T11:10:00Z,7.07,1.38,316.0,24.3,426.0
